YEAR,MONTH,DAY,TMIN,TMAX,TAVG,RHMIN,RHMAX,RHAVG,VPMIN,VPMAX,VPAVG,WIND,W_DIR,PPFD,TOTALSOLAR
1986,1,1,-4.8,8,1.89166667,45,100,73.1666667,3.67,6.63,5.02791667,0.4,166.791667,,
1986,1,2,-0.7,6.9,2.70416667,46,92,73.2083333,3.96,7.08,5.34666667,0.4,137.375,,
1986,1,3,0.9,10.3,4.45,47,100,65.7083333,3.47,7.52,5.49416667,0.4,169.125,,
1986,1,4,1.1,6.8,3.17916667,21,88,53.1666667,1.82,6.17,3.98416667,0.4,239.958333,,
1986,1,5,-7,1.6,-2.5083333,22,86,51,1.11,5.85,2.60958333,0.4,205.375,,
1986,1,6,-4,5.3,0.879166667,21,34,21.5,1.02,1.9,1.42041667,0.4,220.208333,,
1986,1,7,-6.4,5.9,-0.29166667,21,63,39.25,1.15,4.06,2.38958333,0.4,202.25,,
1986,1,8,-7.4,2.2,-3.125,21,42,27.875,0.8,2.15,1.39625,0.4,203.625,,
1986,1,9,-4.9,7.7,1.74583333,22,35,24.875,1.09,2.79,1.76833333,0.4,215.708333,,
1986,1,10,-0.7,7.4,3.6,29,100,66.125,2.33,7.98,5.34625,0.4,251.666667,,
1986,1,11,-3.7,10.1,3.68333333,22,53,25.9166667,1.33,2.82,2.04083333,0.4,221.666667,,
1986,1,12,0.1,13,4.9875,23,54,33.125,1.12,4.55,2.94291667,0.4,205.875,,
1986,1,13,-8.7,0.2,-4.3333333,34,70,51.0833333,1.59,3.24,2.25666667,0.4,118.791667,,
1986,1,14,-9.2,8.9,-0.15,23,56,35.2916667,0.98,3.56,2.19375,0.4,193.166667,,
1986,1,15,-4,8.6,2.40416667,23,50,37.2083333,1.23,4.23,2.79125,0.4,215.458333,,
1986,1,16,0.7,13.3,6.78333333,23,87,36.0833333,2.07,8.23,3.52833333,0.4,215.791667,,
1986,1,17,5.7,9.7,7.69166667,85,100,87.9166667,8.15,10.24,9.24916667,0.4,232.875,,
